pid,high,low,bullishCandles,entryPrice,tradeType,lastCandleRange,secondLastCandleRange,outcome
1,2363.35,2361.75,7,2363.43,Buy,0.23999999999978172,0.11999999999989086,5.06
2,2363.35,2361.75,7,2363.27,Buy,0.0500000000001819,0.1799999999998363,5.22
3,2363.39,2362.07,7,2363.49,Buy,0.19000000000005457,0.0500000000001819,5.11
4,2363.49,2362.26,7,2363.55,Buy,0.09999999999990905,0.19000000000005457,5
5,2363.49,2362.26,7,2363.22,Buy,0.2899999999999636,0.09999999999990905,5.27
6,2362.74,2361.77,7,2362.72,Buy,0.15999999999985448,0.010000000000218279,5.07
7,2362.75,2362.35,7,2362.85,Buy,0.11999999999989086,0.15999999999985448,5.15
8,2362.74,2362.14,7,2362.3,Buy,0.12000000000034561,0.6199999999998909,5.05
9,2362.74,2362.14,7,2362.52,Buy,0.2300000000000182,0.12000000000034561,5.01
10,2362.74,2362.14,7,2362.4,Buy,0.13000000000010914,0.2300000000000182,5.01
11,2363.93,2362.08,7,2363.99,Buy,0.01999999999998181,0.4699999999997999,-5.62
12,2364.7,2362.24,7,2364.8,Buy,0.7899999999999636,0.01999999999998181,-5.02
13,2362.48,2360.73,7,2362.58,Buy,0.13999999999987267,0.3000000000001819,5.42
14,2363.13,2360.73,8,2363.23,Buy,0.6399999999998727,0.13999999999987267,5.22
15,2363.31,2361.03,8,2363.35,Buy,0.1799999999998363,0.6399999999998727,5.14
16,2363.31,2361.62,7,2363.29,Buy,0.07999999999992724,0.1799999999998363,5.16
17,2363.33,2361.62,7,2363.41,Buy,0.13999999999987267,0.07999999999992724,5.04
18,2363.33,2361.62,7,2362.87,Buy,0.5499999999997272,0.13999999999987267,5
19,2363.33,2361.7,7,2363.05,Buy,0.3000000000001819,0.5499999999997272,5.06
20,2363.7,2362.02,7,2363.8,Buy,0.7400000000002365,0.3000000000001819,-5.16
21,2364.83,2363.55,7,2364.91,Buy,0.1799999999998363,0.0500000000001819,-5
22,2365.22,2364.17,7,2365.31,Buy,0.2300000000000182,0.3200000000001637,-5.41
23,2366.96,2365.11,7,2367.06,Buy,0.09999999999990905,0.15000000000009095,-5.03
24,2367.41,2365.7,7,2367.51,Buy,0.36999999999989086,0.09999999999990905,-5.39
25,2367.46,2366.36,7,2367.55,Buy,0.36000000000012733,0.30999999999994543,-5.36
26,2367.62,2366.4,7,2367.71,Buy,0.17000000000007276,0.36000000000012733,-5.59
27,2367.68,2366.4,8,2367.78,Buy,0.06999999999970896,0.17000000000007276,-5
28,2367.79,2366.58,8,2367.89,Buy,0.08000000000038199,0.06999999999970896,-5.06
29,2368.04,2366.71,8,2368.13,Buy,0.25,0.08000000000038199,-5.11
30,2368.04,2366.86,7,2367.73,Buy,0.3900000000003274,0.25,-5.03
31,2368.04,2366.96,7,2367.74,Buy,0.11999999999989086,0.3900000000003274,-5
32,2368.45,2367.1,7,2368.55,Buy,0.7800000000002001,0.11999999999989086,-5.05
33,2368.42,2367.1,7,2368.37,Buy,0.18999999999959982,0.7800000000002001,-5.54
34,2368.43,2367.45,7,2368.53,Buy,0.15999999999985448,0.18999999999959982,-5.22
35,2360.23,2358.56,7,2360.33,Buy,0.3999999999996362,0.13999999999987267,5.29
36,2360.27,2358.56,8,2360.37,Buy,0.03000000000020009,0.3999999999996362,5
37,2360.26,2358.85,7,2360.3,Buy,0.07999999999992724,0.03000000000020009,5.03
38,2360.42,2358.86,7,2360.52,Buy,0.21000000000003638,0.07999999999992724,6.11
39,2360.66,2359.21,7,2360.76,Buy,0.19000000000005457,0.21000000000003638,5.25
40,2360.61,2359.21,7,2360.69,Buy,0.04999999999972715,0.19000000000005457,5.94
41,2361.01,2359.61,7,2361.1,Buy,0.42000000000007276,0.04999999999972715,5.19
42,2361.88,2359.67,7,2361.98,Buy,0.8800000000001091,0.42000000000007276,-5.71
43,2359.94,2358.27,7,2360.04,Buy,0.27999999999974534,0.27999999999974534,5.1
44,2360.38,2358.82,7,2360.47,Buy,0.44000000000005457,0.27999999999974534,5.15
45,2361.16,2359.76,7,2361.2,Buy,0.2199999999997999,0.2600000000002183,-5.1
46,2361.67,2359.76,7,2361.77,Buy,0.5199999999999818,0.2199999999997999,-5.5
47,2361.83,2359.76,8,2361.93,Buy,0.15000000000009095,0.5199999999999818,-5
48,2361.92,2360.38,8,2362.02,Buy,0.09000000000014552,0.15000000000009095,-5.38
49,2362.51,2360.68,8,2362.61,Buy,0.5799999999999272,0.09000000000014552,-5.07
50,2362.5,2360.78,7,2362.29,Buy,0.3200000000001637,0.5799999999999272,-6.02
51,2362.51,2360.89,7,2362.61,Buy,0.30999999999994543,0.3200000000001637,-5.18
52,2362.65,2360.9,7,2362.75,Buy,0.11999999999989086,0.30999999999994543,-5.06
53,2362.63,2360.9,7,2362.63,Buy,0.13999999999987267,0.11999999999989086,-5.09
54,2363.13,2361.1,7,2363.23,Buy,0.599999999999909,0.13999999999987267,-5.21
55,2363.81,2362.05,7,2363.91,Buy,0.419999999999618,0.11000000000012733,-5.14
56,2364.38,2362.05,8,2364.47,Buy,0.5700000000001637,0.419999999999618,-5.23
57,2364.38,2362.54,7,2364.28,Buy,0.19000000000005457,0.5700000000001637,-5.34
58,2358.81,2357.09,7,2358.91,Buy,0.3200000000001637,0.36999999999989086,5.29
59,2358.85,2357.09,8,2358.95,Buy,0.03000000000020009,0.3200000000001637,6.45
60,2359.77,2357.15,8,2359.84,Buy,0.9200000000000728,0.03000000000020009,5.56
61,2359.77,2358.09,7,2359.27,Buy,0.5299999999997453,0.9200000000000728,6.1
62,2359.81,2358.09,7,2359.88,Buy,0.6399999999998727,0.5299999999997453,5.49
63,2360.15,2358.09,7,2360.25,Buy,0.32999999999992724,0.6399999999998727,5.15
64,2360.58,2358.09,7,2360.68,Buy,0.4299999999998363,0.32999999999992724,5.33
65,2361.16,2358.09,8,2361.2,Buy,0.5799999999999272,0.4299999999998363,5.43
66,2361.58,2358.48,8,2361.68,Buy,0.4600000000000364,0.5799999999999272,5.27
67,2362.31,2358.81,8,2362.41,Buy,0.7200000000002547,0.4600000000000364,5.26
68,2362.3,2358.85,7,2362.3,Buy,0.09000000000014552,0.7200000000002547,5.13
69,2363.25,2359.17,7,2363.35,Buy,1.0300000000002,0.09000000000014552,5.07
70,2363.84,2359.17,8,2363.93,Buy,0.5900000000001455,1.0300000000002,7.56
71,2363.84,2359.78,7,2360.94,Buy,2.9899999999997817,0.5900000000001455,5.69
72,2366.01,2363.12,7,2366.11,Buy,1.1700000000000728,0.5599999999999454,-5.8
73,2367.76,2364.95,7,2367.86,Buy,0.6199999999998909,0.650000000000091,-7.55
74,2367.63,2365.46,7,2367.64,Buy,0.6799999999998363,0.8900000000003274,-6.89
75,2368.4,2366.51,7,2368.5,Buy,0.8299999999999272,0.6799999999998363,-5.19
76,2357.43,2352.82,7,2357.53,Buy,0.08999999999969077,0.900000000000091,5.6
77,2358.06,2354.36,7,2358.11,Buy,0.6300000000001091,0.08999999999969077,5.22
78,2358.43,2355.62,7,2358.51,Buy,0.419999999999618,0.1999999999998181,5.08
79,2358.94,2355.62,8,2359.04,Buy,0.5100000000002183,0.419999999999618,5.06
80,2358.92,2356.24,7,2358.79,Buy,0.3200000000001637,0.5100000000002183,5.11
81,2359.5,2357.82,7,2359.55,Buy,0.1999999999998181,0.30999999999994543,5.03
82,2360.39,2358.01,7,2360.49,Buy,0.9100000000003092,0.1999999999998181,5.12
83,2361.18,2358.41,7,2361.28,Buy,0.7600000000002183,0.9100000000003092,5.16
84,2361.27,2358.66,7,2361.36,Buy,0.09000000000014552,0.7600000000002183,5.17
85,2362.07,2358.66,8,2362.16,Buy,0.8099999999999454,0.09000000000014552,-5.13
86,2362.48,2358.66,9,2362.58,Buy,0.38999999999987267,0.8099999999999454,-5
87,2362.45,2358.89,8,2361.66,Buy,0.9200000000000728,0.38999999999987267,-5.13
88,2362.45,2358.98,7,2361.19,Buy,0.4600000000000364,0.9200000000000728,5.34
89,2362.74,2359.3,7,2362.84,Buy,1.6099999999996726,0.4600000000000364,-5.36
90,2364.55,2362.8,7,2364.58,Buy,0.45000000000027285,0.12000000000034561,5.26
91,2364.08,2363.5,7,2364.04,Buy,0.2199999999997999,0.10999999999967258,5.47
92,2364.61,2363.06,7,2364.65,Buy,0.04000000000041837,0.09999999999990905,5.15
93,2364.83,2363.54,7,2364.91,Buy,0.27999999999974534,0.04000000000041837,5.31
94,2364.96,2363.69,7,2365.06,Buy,0.13000000000010914,0.27999999999974534,5.03
95,2364.94,2363.69,7,2364.97,Buy,0.01999999999998181,0.13000000000010914,5.17
96,2364.95,2364.18,7,2365.03,Buy,0.07999999999992724,0.01999999999998181,5.19
97,2365.16,2364.43,7,2365.24,Buy,0.10999999999967258,0.09000000000014552,5.08
98,2365.93,2364.97,7,2366.03,Buy,0.34999999999990905,0.24000000000023647,5.43
